instance_id,repo,difficulty
django__django-11734,django/django,15 min - 1 hour
matplotlib__matplotlib-24637,matplotlib/matplotlib,15 min - 1 hour
pylint-dev__pylint-4604,pylint-dev/pylint,15 min - 1 hour
django__django-13964,django/django,15 min - 1 hour
pydata__xarray-3677,pydata/xarray,15 min - 1 hour
sympy__sympy-22914,sympy/sympy,15 min - 1 hour
scikit-learn__scikit-learn-14053,scikit-learn/scikit-learn,15 min - 1 hour
django__django-15563,django/django,15 min - 1 hour
astropy__astropy-14539,astropy/astropy,15 min - 1 hour
scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,15 min - 1 hour
django__django-11292,django/django,15 min - 1 hour
django__django-15916,django/django,15 min - 1 hour
django__django-15252,django/django,15 min - 1 hour
scikit-learn__scikit-learn-13328,scikit-learn/scikit-learn,<15 min fix
django__django-11433,django/django,<15 min fix
sphinx-doc__sphinx-8269,sphinx-doc/sphinx,<15 min fix
matplotlib__matplotlib-13989,matplotlib/matplotlib,<15 min fix
django__django-15277,django/django,<15 min fix
sphinx-doc__sphinx-7889,sphinx-doc/sphinx,<15 min fix
django__django-14534,django/django,<15 min fix
django__django-11299,django/django,<15 min fix
psf__requests-1142,psf/requests,<15 min fix
pydata__xarray-3993,pydata/xarray,1-4 hours
django__django-13837,django/django,1-4 hours
pydata__xarray-6992,pydata/xarray,>4 hours
